no,name,date,how_old,fuel,length,person,hp,sil,tok,method,auto_stick,dom_for,new_price,old_price
0,기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,12/12(13년형),2013.0,가솔린,4만km,,201.0,4.0,25.5,FF,,국산,3141.0,1870.0
1,현대 YF쏘나타 2.0 Y20 LPi 프리미어,10/03,2010.0,LPG,9만km,,157.0,,20.0,FF,,국산,,700.0
2,현대 그랜져HG 220 디젤 프리미엄,14/09(15년형),2015.0,디젤,3만km,,202.0,4.0,45.0,FF,,국산,3389.0,2990.0
3,쌍용 뉴카이런 2.0 LV5 2WD 고급형,07/06(08년형),2008.0,디젤,16만km,,151.0,4.0,33.8,FR,,국산,2499.0,420.0
4,현대 뉴스타렉스 점보 밴 TCI 3인승 GX 윈도우밴 일반형,04/03,2004.0,디젤,16만km,3.0,103.0,,24.0,FR,수동,국산,1445.0,450.0
5,현대 그랜져TG Q270 LPI 장애인용,06/01,2006.0,LPG,23만km,,165.0,,25.0,FF,,국산,24120.0,550.0
6,기아 오피러스 프리미엄 GH270 스페셜 럭셔리,11/09,2011.0,가솔린,5만km,,195.0,6.0,25.6,FF,,국산,3927.0,1390.0
7,기아 K7 VG350 노블레스 프리미엄,10/02,2010.0,가솔린,10만km,,290.0,6.0,34.5,FF,,국산,4130.0,1530.0
8,현대 제네시스 쿠페 200 터보 P,08/11(09년형),2009.0,가솔린,14만km,,210.0,4.0,30.5,FR,,국산,2641.0,490.0
9,GM대우 뉴 다마스 코치 5인승 슈퍼,13/03,2013.0,LPG,2만km,5.0,43.0,4.0,6.7,FF,수동,국산,930.0,630.0
10,현대 엑센트 1.6 VGT 모던,14/11(15년형),2015.0,디젤,14만km,,136.0,4.0,30.6,FF,,국산,1796.0,600.0
11,기아 올 뉴 카니발 하이리무진 2.2 디젤 9人 프레스티지,15/04(16년형),2016.0,디젤,1만km,,202.0,4.0,45.0,FF,,국산,4985.0,5200.0
12,현대 그랜져IG 3.0 LPi 익스클루시브,17/01,2017.0,LPG,9만km,,235.0,6.0,28.6,FF,,국산,3295.0,1890.0
13,르노삼성 뉴 SM3 LE20,10/11(11년형),2011.0,가솔린,9만km,,141.0,4.0,19.8,FF,,국산,1860.0,550.0
14,현대 더 뉴 아반떼 1.6 GDi 텐 밀리언 리미티드,15/04,2015.0,가솔린,6만km,,140.0,4.0,16.9,FF,,국산,2005.0,1850.0
15,기아 봉고 프론티어 1톤 초장축 더블캡,02/06,2002.0,디젤,7만km,5.0,,,,FR,수동,국산,,650.0
16,현대 아반떼AD 1.6 T-GDi 스포츠 M/T,16/06(17년형),2017.0,가솔린,6만km,5.0,204.0,4.0,26.9,FF,수동,국산,1965.0,1450.0
17,기아 더 뉴 스포티지R 2.0 디젤 2WD 에이스,15/07(16년형),2016.0,디젤,6만km,,184.0,4.0,41.0,FF,,국산,2470.0,1690.0
18,기아 스포티지R 2.0 디젤 2WD TLX 프리미엄,11/03(12년형),2012.0,디젤,16만km,,184.0,4.0,40.0,FF,,국산,2615.0,750.0
19,쌍용 체어맨H 뉴 클래식 500S 최고급형,12/03,2012.0,가솔린,7만km,,200.0,6.0,27.0,FR,,국산,4195.0,1580.0
20,현대 엑센트 1.6 VGT 모던,15/11(16년형),2016.0,디젤,6만km,,136.0,4.0,30.6,FF,,국산,1796.0,990.0
21,현대 그랜드스타렉스 캠핑카,12/07,2012.0,디젤,3만km,,174.0,,41.0,,,국산,,5880.0
22,기아 K9 3.8 GDI VIP,14/03,2014.0,가솔린,4만km,,334.0,6.0,40.3,FR,,국산,6830.0,3620.0
23,현대 뉴베르나 4도어 1.3 GL 기본형,05/09,2005.0,가솔린,16만km,,,4.0,,FF,,국산,753.0,218.0
24,현대 제네시스 쿠페 380 GT R,08/10(09년형),2009.0,가솔린,6만km,,303.0,6.0,36.8,FR,,국산,3392.0,949.0
25,기아 레이 1.0 가솔린 프레스티지,14/07,2014.0,가솔린,2만km,,78.0,3.0,9.6,FF,,국산,1514.0,1090.0
26,현대 제네시스 쿠페 380 GT R,09/08,2009.0,가솔린,13만km,,303.0,6.0,36.8,FR,,국산,3392.0,760.0
27,쉐보레 말리부 2.0 LPGi  LTZ 디럭스,12/04,2012.0,LPG,11만km,,137.0,,18.7,FF,,국산,2787.0,1150.0
28,현대 싼타페 더 프라임 2.2 디젤 2WD 익스클루시브 스페셜,16/01,2016.0,디젤,1만km,,202.0,4.0,45.0,FF,,국산,3423.0,2650.0
29,기아 포르테 1.6 CVVT SI,09/06,2009.0,가솔린,8만km,5.0,124.0,4.0,15.9,FF,수동,국산,1421.0,480.0
30,현대 제네시스 쿠페 380 GT P,09/01,2009.0,가솔린,12만km,,303.0,6.0,36.8,FR,,국산,3042.0,1150.0
31,르노삼성 SM7 뉴 아트 LE23,09/02,2009.0,가솔린,9만km,,170.0,6.0,23.0,FF,,국산,3020.0,1030.0
32,기아 스포티지 4세대 2.0 디젤 2WD 노블레스,16/04,2016.0,디젤,1만km,,,,,,수동,국산,2601.0,2400.0
33,현대 그랜져HG 220 디젤 모던,15/05(16년형),2016.0,디젤,11만km,,202.0,4.0,45.0,FF,,국산,3215.0,1380.0
34,기아 오피러스 수출형 아만티,07/08(06년형),2006.0,가솔린,11만ml,,250.0,,35.0,FF,,국산,,319.0
35,르노삼성 SM7 VQ35 RE,05/03,2005.0,가솔린,20만km,,217.0,6.0,31.9,FF,,국산,3510.0,520.0
36,현대 뉴 에쿠스 VL 500 프레스티지,10/02,2010.0,가솔린,15만km,,400.0,8.0,51.0,FR,,국산,14600.0,2190.0
